model_prompt,samples,intent_accuracy,entity_precision,entity_recall,entity_f1,exact_match_rate,schema_failure_rate,schema_failures,exact_matches
gpt-4.1-nano__english,180,0.9111111111111111,0.43366402116402114,0.28648148148148145,0.32982804232804236,0.15,0.0,0,27
gpt-4.1-nano__hinglish,180,0.8944444444444445,0.42083333333333334,0.3022222222222222,0.3371212121212121,0.15555555555555556,0.0,0,28
sarvam-30b__english,180,0.6,0.5265740740740741,0.21361111111111114,0.2035714285714286,0.05555555555555555,0.18333333333333332,33,10
sarvam-30b__hinglish,180,0.6055555555555555,0.5001851851851852,0.2025,0.195,0.06111111111111111,0.18888888888888888,34,11
