slice_tag,samples,intent_accuracy,entity_precision,entity_recall,entity_f1,exact_match_rate,schema_failure_rate,schema_failures,exact_matches
adversarial,160,0.80625,0.5302083333333333,0.35104166666666664,0.35875,0.18125,0.08125,13,29
ambiguity,168,0.6845238095238095,0.3799603174603175,0.13194444444444445,0.15082199546485262,0.017857142857142856,0.14285714285714285,24,3
code_switching,720,0.7527777777777778,0.4703141534391534,0.2512037037037037,0.26638017075517073,0.10555555555555556,0.09305555555555556,67,76
long_context,56,0.7321428571428571,0.5439200680272108,0.19404761904761905,0.23594233147804577,0.0,0.17857142857142858,10,0
prompt_language_hinglish,720,0.7527777777777778,0.4703141534391534,0.2512037037037037,0.26638017075517073,0.10555555555555556,0.09305555555555556,67,76
sentiment_load,32,0.78125,0.8385416666666666,0.3125,0.3938988095238095,0.0625,0.03125,1,2
short_utterance,24,0.5833333333333334,0.3958333333333333,0.125,0.13194444444444445,0.08333333333333333,0.0,0,2
temporal_reference,340,0.7323529411764705,0.411155462184874,0.21088235294117647,0.22733447924624395,0.041176470588235294,0.11176470588235295,38,14
transliteration_noise,160,0.725,0.4395833333333333,0.19375,0.20669642857142856,0.06875,0.0625,10,11
